,Zone,GenX_Technology,Fuel Type,Name Plate Rating (MW),2019 Capability Summer (MW),2019 Capability Winter (MW),Heat_Rate_MMBTU_per_MWh
0,A,Combined Cycle,Natural Gas,882.9000000000001,816.3000000000001,904.6,11.462853711295224
1,A,Combustion Turbine,Natural Gas,47.3,40.9,46.2,11.11177249712291
2,A,Steam Turbine,Coal,655.1,685.9,692.5,9.42715173968051
3,A,Steam Turbine,Refuse,50.0,31.2,32.2,10.0
4,B,Combined Cycle,Natural Gas,134.3,110.19999999999999,123.5,10.130609315190188
5,C,Combined Cycle,Natural Gas,5477.9,4323.0,4958.6,8.8670684415245
6,C,Steam Turbine,Coal,322.5,151.0,151.0,10.49246999585768
7,C,Steam Turbine,Fuel Oil 6,1803.6,1616.7,1654.5,11.85406685935812
8,C,Steam Turbine,Natural Gas,112.5,104.0,104.0,11.023100317913377
9,D,Combined Cycle,Natural Gas,673.3000000000001,580.8000000000001,644.6999999999999,10.718395891720009
10,E,Combined Cycle,Natural Gas,236.0,188.5,218.7,9.716411789518574
11,E,Steam Turbine,Wood,166.5,0.0,0.0,10.0
12,F,Combined Cycle,Natural Gas,5773.0,4950.5,5648.9,8.430460250335083
13,G,Combined Cycle,Natural Gas,770.0,621.7,755.0,6.841478663086186
14,G,Jet Engine,Natural Gas,88.4,68.1,85.9,18.514908786465945
15,G,Steam Turbine,Fuel Oil 6,1242.0,1184.2,1211.5,10.855126631293928
16,G,Steam Turbine,Natural Gas,1774.0,1599.6999999999998,1622.7,11.857639241335109
17,J,Combined Cycle,Natural Gas,3261.2,2801.1,3261.5,8.798016432012128
18,J,Combustion Turbine,Natural Gas,470.0,411.1,412.2,10.115042004940932
19,J,Jet Engine,Kerosene,1116.0,845.4,1091.2,13.759577789653578
20,J,Jet Engine,Natural Gas,300.3,0.0,0.0,
21,J,Steam Turbine,Fuel Oil 2,1526.0,1494.1999999999998,1514.8,5.659843797230177
22,J,Steam Turbine,Fuel Oil 6,1827.0,1717.0,1722.1,11.094915572617596
23,J,Steam Turbine,Natural Gas,1447.9,1355.0,1370.7,10.99810458642855
24,K,Combined Cycle,Natural Gas,945.2,763.2,854.1,8.943360112348417
25,K,Combustion Turbine,Fuel Oil 2,500.9,471.7,584.1,12.687347334589388
26,K,Combustion Turbine,Natural Gas,712.5,555.2,606.5,12.353585317146731
27,K,Jet Engine,Fuel Oil 2,621.0,584.6,695.5,16.804599949206303
28,K,Jet Engine,Kerosene,60.5,54.4,54.4,10.784836726375008
29,K,Jet Engine,Natural Gas,60.5,55.1,58.6,10.760504583429618
30,K,Steam Turbine,Fuel Oil 6,376.0,378.5,386.7,10.847202303018054
31,K,Steam Turbine,Natural Gas,1924.0,1959.5,1951.4,10.363434095478866
