Resource,Zone,region,cluster,Technology,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,LDS
Hydro_A,1,A,1,Hydro,0,0,4.7,4.7,4.7,0,51543.5483870968,0.58,0,None,0.1,0.5,0.5,12,1
Hydro_B,2,B,1,Hydro,0,0,63.8,63.8,63.8,0,51543.5483870968,0.58,0,None,0.1,0.5,0.5,12,1
Hydro_C,3,C,1,Hydro,0,0,108.4,108.4,108.4,0,51543.5483870968,0.58,0,None,0.1,0.5,0.5,12,1
Hydro_D,4,D,1,Hydro,0,0,58.8,58.8,58.8,0,51543.5483870968,0.58,0,None,0.1,0.5,0.5,12,1
Hydro_E,5,E,1,Hydro,0,0,373.9,373.9,373.9,0,51543.5483870968,0.58,0,None,0.1,0.5,0.5,12,1
Hydro_F,6,F,1,Hydro,0,0,287.5,287.5,287.5,0,51543.5483870968,0.58,0,None,0.1,0.5,0.5,12,1
Hydro_G,7,G,1,Hydro,0,0,78.9,78.9,78.9,0,67722.1294494928,0.58,0,None,0.1,0.5,0.5,12,1
PumpedHydro_A,1,A,1,Hydro,0,0,240.0,240.0,240.0,0,20150.0,0.58,0,None,0.1,0.5,0.5,12,1
PumpedHydro_F,6,F,1,Hydro,0,0,1160.0,1160.0,1160.0,0,20150.0,0.58,0,None,0.1,0.5,0.5,12,1
