Resource,Fuel,Zone,AnnualSumCosts
Combined_Cycle_Natural_Gas_A,NG_A2E,1,0.0
Combustion_Turbine_Natural_Gas_A,NG_A2E,1,1.5710557496911262e6
Steam_Turbine_Coal_A,coal_NY,1,0.0
Combined_Cycle_Natural_Gas_B,NG_A2E,2,0.0
Combined_Cycle_Natural_Gas_C,NG_A2E,3,0.0
Steam_Turbine_Coal_C,coal_NY,3,0.0
Steam_Turbine_Fuel_Oil_6_C,FO6_UPNY,3,0.0
Steam_Turbine_Natural_Gas_C,NG_A2E,3,695618.4404342892
Combined_Cycle_Natural_Gas_D,NG_A2E,4,0.0
Combined_Cycle_Natural_Gas_E,NG_A2E,5,0.0
Combined_Cycle_Natural_Gas_F,NG_F2I,6,5.058413435407412e7
Combined_Cycle_Natural_Gas_G,NG_F2I,7,1.53483061313127e8
Jet_Engine_Natural_Gas_G,NG_F2I,7,0.0
Steam_Turbine_Fuel_Oil_6_G,FO6_UPNY,7,0.0
Steam_Turbine_Natural_Gas_G,NG_F2I,7,0.0
Combined_Cycle_Natural_Gas_J,NG_J,10,3.6226235965048724e8
Combustion_Turbine_Natural_Gas_J,NG_J,10,1.7723264851632677e6
Steam_Turbine_Fuel_Oil_2_J,FO2_DSNY,10,0.0
Steam_Turbine_Fuel_Oil_6_J,FO6_DSNY,10,0.0
Steam_Turbine_Natural_Gas_J,NG_J,10,0.0
Combined_Cycle_Natural_Gas_K,NG_K,11,3.4212644943852914e6
Combustion_Turbine_Fuel_Oil_2_K,FO2_DSNY,11,0.0
Combustion_Turbine_Natural_Gas_K,NG_K,11,0.0
Jet_Engine_Fuel_Oil_2_K,FO2_DSNY,11,0.0
Jet_Engine_Natural_Gas_K,NG_K,11,0.0
Steam_Turbine_Fuel_Oil_6_K,FO6_DSNY,11,0.0
Steam_Turbine_Natural_Gas_K,NG_K,11,0.0
