Resource,Zone,AnnualSum,Capacity,CapacityFactor
Hydro_A,1,32305.920000003287,4.7,0.7846575342466551
Hydro_B,2,438535.6799999646,63.8,0.7846575342465121
Hydro_C,3,934638.9071963957,108.4,0.9842614315283278
Hydro_D,4,506981.2522429215,58.8,0.9842614315280525
Hydro_E,5,3.2238144594153953e6,373.9,0.9842614315280365
Hydro_F,6,2.478862415303739e6,287.5,0.9842614315281869
Hydro_G,7,680286.0680608576,78.9,0.9842614315283457
PumpedHydro_A,1,1.6496640000000023e6,240.0,0.7846575342465765
PumpedHydro_F,6,1.0001670962616818e7,1160.0,0.9842614315281862
CombinedCycle_NaturalGas_A_Existing,1,3.2805921080468665e6,440.4,0.8503560762649529
CombinedCycle_NaturalGas_A_New,1,5.939841846577701e6,814.2781926587671,0.8327180364774073
CombustionTurbine_NaturalGas_A_Existing,1,75748.87769638683,47.3,0.18281463334295528
CombustionTurbine_NaturalGas_A_New,1,375470.012480168,236.5,0.18123413772006527
InternalCombustion_MethaneBio_A_Existing,1,184646.68995511706,28.0,0.7527996165815275
SteamTurbine_NaturalGas_A_Existing,1,74968.67872087704,53.7,0.1593681256449177
SteamTurbine_Refuse_A_Existing,1,316325.4141266945,50.0,0.7222041418417682
CombinedCycle_NaturalGas_B_Existing,2,946802.0683897435,134.3,0.8047835286550449
CombinedCycle_NaturalGas_B_New,2,4.74670416394339e6,671.5,0.8069414831416393
InternalCombustion_MethaneBio_B_Existing,2,87047.72526454841,13.2,0.752799616581469
SteamTurbine_NaturalGas_B_Existing,2,0.0,0.0,0.0
CombinedCycle_NaturalGas_C_Existing,3,1.1345935217004161e7,1593.3,0.8129028331970721
CombinedCycle_NaturalGas_C_New,3,0.0,0.0,0.0
InternalCombustion_MethaneBio_C_Existing,3,363011.8965580469,42.9,0.9659607044045484
SteamTurbine_FuelOil6_C_Existing,3,77684.93289922421,1803.6,0.004916912300413393
SteamTurbine_NaturalGas_C_Existing,3,209799.25949938173,112.5,0.21288610806634373
CombinedCycle_NaturalGas_D_Existing,4,2.79399332887304e6,387.7000000000001,0.8226696160570651
CombinedCycle_NaturalGas_D_New,4,0.0,0.0,0.0
InternalCombustion_MethaneBio_D_Existing,4,54055.78700047602,6.4,0.9641799907333763
CombinedCycle_NaturalGas_E_Existing,5,1.6212319444274274e6,236.0,0.784203982096697
CombinedCycle_NaturalGas_E_New,5,0.0,0.0,0.0
InternalCombustion_MethaneBio_E_Existing,5,73858.67598203644,11.2,0.7527996165814217
CombinedCycle_NaturalGas_F_Existing,6,1.606084400433818e7,3648.0,0.5025848905867661
CombinedCycle_NaturalGas_F_New,6,0.0,0.0,0.0
InternalCombustion_MethaneBio_F_Existing,6,131162.81686830748,15.2,0.9850608092128356
SteamTurbine_Refuse_F_Existing,6,87723.33076285705,14.4,0.6954221426532934
CombinedCycle_NaturalGas_G_Existing,7,9.493119635205878e6,1946.9,0.5566230705602395
CombinedCycle_NaturalGas_G_New,7,0.0,0.0,0.0
CombustionTurbine_Kerosene_G_Existing,7,166511.15137023252,21.6,0.880005662154535
CombustionTurbine_Kerosene_G_New,7,832555.7568512791,108.0,0.8800056621546583
CombustionTurbine_NaturalGas_G_Existing,7,6160.296205200408,21.6,0.03255695187087988
CombustionTurbine_NaturalGas_G_New,7,30913.00326947564,108.0,0.03267483010895024
SteamTurbine_NaturalGas_G_Existing,7,805161.4253508425,3016.0,0.030475266817114
SteamTurbine_Refuse_G_Existing,7,58203.87619931376,9.2,0.7222041418417928
JetEngine_nan_G_Existing,7,655736.7375358262,88.4,0.846784976879463
SteamTurbine_Refuse_H_Existing,8,451840.82999997796,59.7,0.8639866570293973
CombinedCycle_NaturalGas_J_Existing,10,2.1448950972852867e7,2811.0682726013542,0.8710248729615598
CombinedCycle_NaturalGas_J_New,10,0.0,0.0,0.0
CombustionTurbine_NaturalGas_J_Existing,10,1.1276750818434774e6,1195.1,0.10771486250013636
CombustionTurbine_NaturalGas_J_New,10,1.9377501922625084e6,1674.681984871848,0.13208738246757074
InternalCombustion_NaturalGas_J_Existing,10,30101.352029192014,11.1,0.30957003608943207
SteamTurbine_NaturalGas_J_Existing,10,4.899284694121864e6,3010.9,0.18575146124794767
JetEngine_nan_J_Existing,10,4.941878432160264e6,1223.0,0.4612766750075852
CombinedCycle_NaturalGas_K_Existing,11,4.735721760828419e6,806.6,0.6702299862929375
CombinedCycle_NaturalGas_K_New,11,0.0,0.0,0.0
CombustionTurbine_FuelOil2_K_Existing,11,13262.201254171185,526.9,0.0028733154580750132
CombustionTurbine_FuelOil2_K_New,11,0.0,0.0,0.0
CombustionTurbine_Kerosene_K_Existing,11,127484.41827892444,18.2,0.7996162519376565
CombustionTurbine_Kerosene_K_New,11,637422.0913947044,91.0,0.7996162519377595
CombustionTurbine_NaturalGas_K_Existing,11,182746.281859914,702.0,0.02971716196709889
CombustionTurbine_NaturalGas_K_New,11,0.0,0.0,0.0
InternalCombustion_FuelOil2_K_Existing,11,493.1718306385835,19.1,0.002947547339397209
InternalCombustion_NaturalGas_K_Existing,11,21937.675999837375,29.4,0.08518030317086547
SteamTurbine_NaturalGas_K_Existing,11,1.1110923625272603e6,2300.0,0.055146533776417525
SteamTurbine_Refuse_K_Existing,11,1.1406212870385032e6,136.1,0.9567076376141161
JetEngine_nan_K_Existing,11,7.836326022320541e6,949.1,0.9425326784375561
Nuclear_B_Existing,2,0.0,0.0,0.0
Nuclear_B_New,2,0.0,0.0,0.0
Nuclear_C_Existing,3,0.0,0.0,0.0
Nuclear_C_New,3,0.0,0.0,0.0
WindLand_A_Existing,1,1.643833556180724e6,447.9,0.41896010815075224
WindLand_A_New,1,8.219167780903652e6,2239.5,0.4189601081507539
WindLand_B_Existing,2,25644.877837669566,6.6,0.44356022273539447
WindLand_B_New,2,128224.3891883483,33.0,0.4435602227353961
WindLand_C_Existing,3,3.4374590817770734e6,914.2,0.429232120727491
WindLand_C_New,3,0.0,0.0,0.0
WindLand_D_Existing,4,2.8108408715055366e6,678.4,0.47298385260267517
WindLand_D_New,4,4.537040546800178e6,1095.0204752432871,0.47298385260267406
WindLand_E_Existing,5,3.3002261145195924e6,817.2,0.4610109409286516
WindLand_E_New,5,0.0,0.0,0.0
SolarUtility_C_Existing,3,46044.80164043819,40.0,0.13140639737567977
SolarUtility_C_New,3,0.0,0.0,0.0
SolarUtility_F_Existing,6,196812.36691892514,160.0,0.140419782333708
SolarUtility_F_New,6,0.0,0.0,0.0
SolarUtility_K_Existing,11,0.0,0.0,0.0
SolarUtility_K_New,11,0.0,0.0,0.0
Battery_A_Existing,1,23420.415731811492,40.0,0.0
Battery_A_New,1,210194.68722287062,294.0468142268401,0.0
Battery_C_Existing,3,1057.787338883869,2.0,0.0
Battery_C_New,3,0.0,0.0,0.0
Battery_D_Existing,4,10534.704307327938,20.0,0.0
Battery_D_New,4,0.0,0.0,0.0
Battery_F_Existing,6,21104.11736336678,40.0,0.0
Battery_F_New,6,0.0,0.0,0.0
Battery_G_Existing,7,1578.573681410879,3.0,0.0
Battery_G_New,7,0.0,0.0,0.0
