Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11
cTotal,5.613109489817673e9,5.2076543924221635e8,2.188223049497379e8,3.763730353134211e8,1.0189499454855861e8,6.703316325849171e7,4.495613559409964e8,1.8105864392901094e9,6.155910514398788e6,1.544498984356677e6,4.384977884951383e8,1.6218745592774105e9
cFix,3.839886380171567e9,3.048175216782544e8,1.0836424078392775e8,1.6405064924104655e8,2.7522542146884896e7,3.6010671273115076e7,2.5629813960880595e8,1.3773156440580013e9,3.897661264398788e6,1.544498984356677e6,2.7398458854498863e8,1.2860802225877855e9
cVar,8.356530341855723e8,3.0166194388130903e7,1.3632940397124954e7,3.3085857893868968e7,8.0716471531477105e6,6.573156140347721e6,3.435611971820993e7,3.438334124770114e8,2.25824925e6,0.0,4.326791530910848e7,3.2040754145970666e8
cFuel,8.540926633556858e8,1.487306701836594e8,7.435749823718144e7,1.792365281785055e8,4.283709006096372e7,2.444933584502891e7,1.5890709661398053e8,8.943738275509667e7,0.0,0.0,1.2075026625135653e8,1.538679522991851e7
cNSE,8.34774121009222e7,3.705105299217158e7,2.2467625531503737e7,0.0,2.346371518756227e7,0.0,0.0,0.0,0.0,0.0,495018.38968461927,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,0.0,-,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
