Resource,Zone,region,cluster,Technology,New_Build,Can_Retire,Model,LDS,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWhIn,Heat_Rate_MMBTU_per_MWh,Fuel,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration
Battery_A,1,A,1,Battery,1,0,1,0,2479,9916,12395,49580,-1,-1,43530.0,7255.0,19800.0,3300.0,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_B,2,B,1,Battery,1,0,1,0,10,40,50,200,-1,-1,43530.0,7255.0,19800.0,3300.0,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_C,3,C,1,Battery,1,0,1,0,2538,10152,12690,50760,-1,-1,43530.0,7255.0,19800.0,3300.0,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_D,4,D,1,Battery,1,0,1,0,2562,10248,12810,51240,-1,-1,43530.0,7255.0,19800.0,3300.0,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_E,5,E,1,Battery,1,0,1,0,892,3568,4460,17840,-1,-1,43530.0,7255.0,19800.0,3300.0,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_F,6,F,1,Battery,1,0,1,0,4727,18908,23635,94540,-1,-1,43530.0,7255.0,19800.0,3300.0,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_G,7,G,1,Battery,1,0,1,0,150,600,750,3000,-1,-1,57193.2741765679,9532.212362761318,26014.859377349978,4335.809896224996,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_H,8,H,1,Battery,1,0,1,0,140,560,700,2800,-1,-1,57193.2741765679,9532.212362761318,26014.859377349978,4335.809896224996,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_I,9,I,1,Battery,1,0,1,0,140,560,700,2800,-1,-1,57193.2741765679,9532.212362761318,26014.859377349978,4335.809896224996,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_J,10,J,1,Battery,1,0,1,0,4263,17052,21315,85260,-1,-1,74997.43044066778,12499.571740111296,34113.2350729433,5685.539178823884,0,0,0,None,0.0004,0.92,0.92,2,8
Battery_K,11,K,1,Battery,1,0,1,0,1924,7696,9620,38480,-1,-1,61006.81380658746,10167.80230109791,27749.4811249812,4624.9135208302005,0,0,0,None,0.0004,0.92,0.92,2,8
