Resource,Zone,region,cluster,Technology,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Num_VRE_bins
Wind_Land_A,1,A,1,Wind_Land,1,0,2692,8076,-1,70400.0,29000.0,0.0,0,None,1
Wind_Land_B,2,B,1,Wind_Land,1,0,390,1170,-1,70400.0,29000.0,0.0,0,None,1
Wind_Land_C,3,C,1,Wind_Land,1,0,1923,5769,-1,70400.0,29000.0,0.0,0,None,1
Wind_Land_D,4,D,1,Wind_Land,1,0,1935,5805,-1,70400.0,29000.0,0.0,0,None,1
Wind_Land_E,5,E,1,Wind_Land,1,0,1821,5463,-1,70400.0,29000.0,0.0,0,None,1
Wind_Land_F,6,F,1,Wind_Land,1,0,1864,5592,-1,70400.0,29000.0,0.0,0,None,1
Wind_Land_G,7,G,1,Wind_Land,1,0,606,1818,-1,92497.27778613326,38102.57181531057,0.0,0,None,1
Wind_Land_H,8,H,1,Wind_Land,1,0,303,909,-1,92497.27778613326,38102.57181531057,0.0,0,None,1
Wind_Land_K,11,K,1,Wind_Land,1,0,121,363,-1,98664.82177771094,40643.179425477516,0.0,0,None,1
Wind_Offshore_J,11,J,1,Wind_Offshore,1,0,8250,24750,-1,378346.78899082576,136108.3621597233,0.0,0,None,1
Wind_Offshore_K,11,K,1,Wind_Offshore,1,0,6488,19464,-1,307766.97247706424,110717.62671078357,0.0,0,None,1
Solar_BTM_A,11,A,1,Solar_BTM,1,0,1297,3891,-1,90075.0,20500.0,0.0,0,None,1
Solar_BTM_B,11,B,1,Solar_BTM,1,0,402,1206,-1,90075.0,20500.0,0.0,0,None,1
Solar_BTM_C,11,C,1,Solar_BTM,1,0,1098,3294,-1,90075.0,20500.0,0.0,0,None,1
Solar_BTM_D,11,D,1,Solar_BTM,1,0,127,381,-1,90075.0,20500.0,0.0,0,None,1
Solar_BTM_E,11,E,1,Solar_BTM,1,0,1240,3720,-1,90075.0,20500.0,0.0,0,None,1
Solar_BTM_F,11,F,1,Solar_BTM,1,0,2154,6462,-1,90075.0,20500.0,0.0,0,None,1
Solar_BTM_G,11,G,1,Solar_BTM,1,0,2270,6810,-1,118347.90194014137,26934.57662806437,0.0,0,None,1
Solar_BTM_H,11,H,1,Solar_BTM,1,0,202,606,-1,118347.90194014137,26934.57662806437,0.0,0,None,1
Solar_BTM_I,11,I,1,Solar_BTM,1,0,299,897,-1,118347.90194014137,26934.57662806437,0.0,0,None,1
Solar_BTM_J,11,J,1,Solar_BTM,1,0,1676,5028,-1,155189.3762219883,35319.25853511807,0.0,0,None,1
Solar_BTM_K,11,K,1,Solar_BTM,1,0,2883,8649,-1,126239.11678447887,28730.523386975485,0.0,0,None,1
Solar_Utility_A,11,A,1,Solar_Utility,1,0,14440,43320,-1,59650.0,18000.0,0.0,0,None,1
Solar_Utility_B,11,B,1,Solar_Utility,1,0,1648,4944,-1,59650.0,18000.0,0.0,0,None,1
Solar_Utility_C,11,C,1,Solar_Utility,1,0,9006,27018,-1,59650.0,18000.0,0.0,0,None,1
Solar_Utility_E,11,E,1,Solar_Utility,1,0,5698,17094,-1,59650.0,18000.0,0.0,0,None,1
Solar_Utility_F,11,F,1,Solar_Utility,1,0,15647,46941,-1,59650.0,18000.0,0.0,0,None,1
Solar_Utility_G,11,G,1,Solar_Utility,1,0,3353,10059,-1,78373.04857873365,23649.872161227253,0.0,0,None,1
Solar_Utility_K,11,K,1,Solar_Utility,1,0,1441,4323,-1,83598.81561137013,25226.801022710184,0.0,0,None,1
