Unnamed: 0,Resource,Model,New_Build,Can_Retire,Zone,THERM,MUST_RUN,STOR,FLEX,HYDRO,VRE,SOLAR,WIND,Num_VRE_Bins,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Min,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,LDS,Max_Charge_Cap_MW
1,Coal-new,1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,203928.1434561149,0,,86500.0,0,,9.3,0,8.49,BIT,337.0723926380369,29.06194832613996,0,15.0,9.0,0.2921520454475485,0.3268746241675365,,0.4227956711343432,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
2,HTGR,1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,390650.0,0,,8200.0,0,,0.0,0,10.46,UM,164.0,500.0,0,20.0,20.0,6.0,6.0,,0.1999999999999999,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
3,Land-Based Wind - Class 1 - Technology 1,1,,,1,,,,,,1.0,,1.0,1.0,0,0,,-1,-1,,0,0,83289.32916910951,0,,32443.047267129303,0,,0.1,0,,,,,0,,,,,,,0,0.85,0.85,,,,,,0.0,0.0,0,0,0,,,,,,,,1.0,1.0,ERCOT,0,,-1
4,Microreactor,1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,545098.5,0,,13216.5,0,,0.0,0,10.46,UM,6.7,500.0,0,20.0,20.0,6.0,6.0,,0.4029850746268656,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
5,NG 2-on-1 Combined Cycle (F-Frame),1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,74962.65220579866,0,,34500.0,0,,2.17,0,6.363,NG,143.3689655172414,33.58207681309256,0,3.0,2.0,0.306884871831378,0.3419506794722491,,0.7743718883036288,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
6,NG 2-on-1 Combined Cycle (H-Frame) 95% CCS,1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,146208.93091514512,0,,65800.0,0,,4.86,0,7.007,NG,143.3689655172414,33.58207681309256,0,3.0,2.0,0.306884871831378,0.3419506794722491,,0.7743718883036288,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
7,NG Combustion Turbine (F-Frame),1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,67440.75682317429,0,,26100.0,0,,6.94,0,9.717,DFO,34.148170731707346,24.81885366632592,0,2.0,2.0,0.3434467533575733,0.382860437420166,,0.5970694427084262,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
8,PBR-HTGR,1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,228450.0,0,,5000.0,0,,0.0,0,10.46,UM,80.0,500.0,0,20.0,20.0,3.0,3.0,,0.4,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
9,RICE,1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,90500.0,0,,35160.0,0,,5.69,0,9.717,DFO,21.4,24.81885366632592,0,2.0,2.0,0.3434467533575733,0.382860437420166,,0.5,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
10,Utility PV - Class 1,1,,,1,,,,,,1.0,1.0,,1.0,0,0,,-1,-1,,0,0,74134.16401510601,0,,23765.60345636052,0,,0.1,0,,,,,0,,,,,,,0,0.85,0.85,,,,,,0.0,0.0,0,0,0,,,,,,,,1.0,1.0,ERCOT,0,,-1
11,Utility-Scale Battery Storage - 10Hr,1,,,1,,,1.0,,,,,,,0,0,,-1,-1,,0,0,226602.9591379785,0,,106807.289688,0,,0.0,0,,,,,0,,,,,,,0,0.85,0.85,10.0,10.0,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
12,Utility-Scale Battery Storage - 2Hr,1,,,1,,,1.0,,,,,,,0,0,,-1,-1,,0,0,64517.56235760602,0,,28621.570104,0,,0.0,0,,,,,0,,,,,,,0,0.85,0.85,2.0,2.0,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
13,Utility-Scale Battery Storage - 4Hr,1,,,1,,,1.0,,,,,,,0,0,,-1,-1,,0,0,105038.91155269914,0,,48168.00000000001,0,,0.0,0,,,,,0,,,,,,,0,0.85,0.85,4.0,4.0,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
14,Utility-Scale Battery Storage - 6Hr,1,,,1,,,1.0,,,,,,,0,0,,-1,-1,,0,0,145560.26074779226,0,,67714.429896,0,,0.0,0,,,,,0,,,,,,,0,0.85,0.85,6.0,6.0,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
15,Utility-Scale Battery Storage - 8Hr,1,,,1,,,1.0,,,,,,,0,0,,-1,-1,,0,0,186081.6099428853,0,,87260.859792,0,,0.0,0,,,,,0,,,,,,,0,0.85,0.85,8.0,8.0,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
16,iPWR_Pack,1,,,1,1.0,,,,,,,,,0,0,,-1,-1,,0,0,276751.0,0,,5750.0,0,,0.8,0,10.46,UM,462.0,83.33333333333333,0,20.0,20.0,0.4,0.4,,0.0333333333333333,0,0.85,0.85,,,,,,0.25,0.5,0,0,0,,,,,,,,,,ERCOT,0,,-1
