,dlac-p,dlac-i,slac
Thermal_Base,-2.5282063330999005,0.800722795195728,-11.328701459290157
2_Hr_BESS,2.1479928077006973,8.673900819296172,4.777583217234058
2_Hr_BESS_Fuelx2,-2.8169069919512952,10.185835676277401,7.856359383061071
4_Hr_BESS,3.2815024204126115,10.434025713409309,8.069206879597406
4_Hr_BESS_Fuelx2,-1.0630742858333215,11.969894795753348,11.523878716430467
4_Hr_BESS_Fuelx3,4.5920911404270734,20.09585126426285,12.815874884860454
4_Hr_BESS_Fuelx4,6.839166220385285,26.5918192109698,17.14532422839096
6_Hr_BESS,1.597673210916482,10.077385802979574,7.274885158059683
6_Hr_BESS_Fuelx2,1.5296541518364994,12.049535424562597,11.193934402532385
8_Hr_BESS,-3.9080254094558966,11.374345778480874,6.552873020101452
8_Hr_BESS_Fuelx2,4.82881624113469,13.223785944297795,9.03229545074845
10_Hr_BESS,-2.678843510197933,10.798936783346205,7.299940493437666
10_Hr_BESS_Fuelx2,4.626360034327633,13.948964003360588,7.824412030214362
