Case Name,CEM,PF,DLAC-p,DLAC-i,SLAC
Thermal Base,0.0,0.0,0.0,17.493405938909223,0.0
2 Hr BESS,-0.02314921987128793,0.0,0.0,15.431269966202144,33.677485068753185
2 Hr BESS Fuelx2,-0.19247734381265813,0.0,0.0,170.9519608629401,142.34501563878416
4 Hr BESS,-0.12205355099550452,0.0,0.0,131.59661301395985,91.41048134869175
4 Hr BESS Fuelx2,-100.0,0.0,0.0,66262.00359209739,53330.45300339254
4 Hr BESS Fuelx3,-100.0,0.0,0.0,32053.09159043315,16087.038465777581
4 Hr BESS Fuelx4,-0.9577970667464797,0.0,0.0,34.079616881173294,25.639030230469917
6 Hr BESS,-2.6218879299313325,0.0,0.0,262.01674937083214,211.0292758527534
6 Hr BESS Fuelx2,-100.0,0.0,0.0,65520.83064342587,52488.76694641705
8 Hr BESS,-0.25491729671792696,0.0,-0.0028967874627028323,522.4616899858057,382.7496306595985
8 Hr BESS Fuelx2,-0.22738038844150044,0.0,0.0,81.62008526764566,39.06205589767882
10 Hr BESS,-3.5434605435668454,0.0,0.0,6099.992913078913,5222.632082491762
10 Hr BESS Fuelx2,-0.10012287807763531,0.0,0.0,30.874254767214303,18.55458972375188
